income,credit_score,debt_to_income,years_employed,age,education_level,num_credit_accounts,neighborhood_code,loan_amount_requested,has_cosigner,approved
51322.29,707,0.323,10.6,65,0,3,5,91504.68,0,0
20000.0,798,0.225,7.3,32,0,8,6,24841.71,0,1
43921.71,601,0.547,20.0,41,3,4,4,90002.18,0,0
58603.89,691,0.314,0.7,65,0,4,8,45141.95,0,0
102636.31,687,0.065,1.3,47,0,8,8,92222.53,0,0
37830.27,594,0.131,3.9,67,1,2,2,88300.94,1,0
32720.37,757,0.312,1.3,66,0,8,8,44448.17,0,0
38143.91,850,0.233,0.2,42,1,9,8,92577.88,0,1
77474.26,679,0.273,2.6,48,1,3,5,65108.48,0,1
57778.7,720,0.055,1.7,30,1,6,1,50183.44,1,1
37613.56,687,0.336,1.5,70,0,5,3,55415.62,0,1
63362.89,623,0.076,15.3,32,3,7,5,11013.55,0,1
51458.9,534,0.52,1.4,59,0,4,8,81721.14,0,0
79564.44,624,0.173,0.7,34,1,3,4,32784.32,0,0
34508.93,569,0.304,0.7,34,3,5,7,30666.02,1,0
41613.04,816,0.136,8.2,23,1,6,3,72962.85,0,0
40293.52,671,0.03,6.3,47,0,5,7,40226.75,0,0
23582.08,652,0.125,0.7,31,0,4,8,53845.51,0,0
56843.67,751,0.22,1.2,26,3,4,7,45049.52,0,1
55855.74,590,0.055,6.9,30,2,6,1,52940.36,1,1
49146.29,619,0.662,1.6,31,3,1,9,26106.42,0,1
43595.38,685,0.26,20.0,44,1,3,7,89068.9,0,1
24156.64,762,0.157,3.9,38,1,8,9,62966.78,1,1
39722.67,720,0.436,1.1,22,0,3,10,27202.3,1,1
41301.03,700,0.219,9.8,46,3,4,5,13696.21,1,1
32822.23,686,0.37,1.9,59,1,4,8,55869.47,1,1
45222.82,712,0.112,1.7,48,1,7,9,49471.35,0,0
59995.54,696,0.447,2.0,69,1,12,3,93586.55,1,0
125881.08,598,0.133,7.3,23,0,2,7,26916.52,1,1
53492.08,684,0.254,1.0,61,1,6,7,88752.5,0,0
55757.95,594,0.251,2.4,44,1,8,8,77816.96,1,1
47229.64,686,0.495,0.2,45,0,2,2,50267.93,0,0
20000.0,642,0.291,8.8,45,0,2,1,88008.39,0,0
48375.22,850,0.309,2.1,35,1,6,5,86878.51,0,0
50519.52,677,0.415,1.4,35,1,1,6,72870.06,0,1
167983.5,568,0.118,4.3,51,0,5,5,14647.35,1,0
44525.6,669,0.211,6.1,20,0,5,8,20218.16,1,1
56998.13,722,0.436,8.4,49,3,4,2,61202.05,1,1
48177.34,814,0.345,2.1,56,0,3,7,28314.84,0,0
27327.83,633,0.224,8.4,37,0,4,2,57360.89,0,0
86804.3,553,0.392,3.1,29,1,6,7,58274.54,0,1
71393.81,745,0.173,0.5,29,0,7,6,60773.98,0,1
72803.26,570,0.175,9.4,22,1,3,7,59134.95,0,1
31110.67,645,0.15,4.0,23,2,6,8,41029.57,0,0
98853.79,659,0.328,4.6,27,1,4,8,24973.27,0,0
24320.49,674,0.167,13.9,19,2,5,2,54261.57,0,1
65737.75,735,0.507,4.1,32,3,8,8,52040.63,0,1
146565.52,625,0.765,0.0,34,0,8,7,31143.4,0,1
29873.64,658,0.143,10.2,70,1,10,6,9862.41,1,0
36932.65,679,0.226,1.7,70,1,8,6,24529.08,0,0
51525.17,692,0.383,3.5,28,1,7,5,57324.25,0,0
38111.15,688,0.328,1.1,29,2,4,7,55883.83,1,1
22576.58,715,0.201,1.8,44,2,2,2,17695.75,0,0
50730.44,748,0.327,5.8,26,1,5,9,62574.96,0,1
28820.67,711,0.37,2.8,44,0,10,7,45151.71,1,0
62118.32,716,0.383,4.9,39,0,6,9,67098.68,0,0
30954.94,553,0.536,8.7,35,1,7,10,89360.49,0,1
106400.68,684,0.398,2.1,61,0,3,8,34312.01,0,0
33135.93,718,0.22,4.2,61,2,10,2,37994.2,1,0
41729.74,738,0.146,7.5,69,1,6,6,69297.36,0,0
73626.38,625,0.22,6.3,30,1,3,5,95169.77,0,1
26491.2,627,0.313,3.9,64,1,7,6,51181.67,0,1
54925.33,634,0.073,2.4,46,2,3,1,21082.22,0,0
94237.3,723,0.249,2.6,49,2,7,6,93825.48,0,1
21944.21,763,0.614,2.8,65,2,6,8,49628.84,1,1
53761.72,647,0.788,2.1,67,1,2,7,48766.45,0,0
55823.01,753,0.309,6.0,56,0,7,8,56281.8,0,1
72468.8,690,0.075,0.7,36,1,4,5,28987.92,0,0
26410.7,670,0.354,17.1,43,1,0,3,79545.87,0,1
25330.68,663,0.067,7.5,50,3,4,8,65899.14,0,1
63638.3,740,0.2,1.8,61,1,6,9,95712.68,0,1
56868.24,706,0.318,0.2,52,1,9,2,24369.37,1,0
55561.54,850,0.374,6.2,37,2,2,5,63817.77,0,0
58292.23,612,0.537,6.6,40,1,8,8,54080.24,0,0
34891.12,721,0.071,16.6,21,1,2,6,90001.62,0,1
55057.14,638,0.263,1.5,66,0,8,1,7884.85,1,0
56757.11,610,0.182,0.4,23,0,6,2,77276.08,0,0
34297.38,679,0.388,12.3,48,2,5,2,64190.67,0,0
124602.91,691,0.109,1.5,63,2,5,8,62717.17,0,0
62125.79,850,0.088,6.4,40,1,2,9,88155.54,1,1
27020.42,665,0.279,0.3,60,1,7,4,61030.82,1,0
68068.97,590,0.043,7.1,60,1,3,1,73012.66,0,0
30111.4,702,0.456,0.7,21,1,6,2,66342.2,1,0
72659.71,514,0.356,5.9,39,0,4,9,11602.95,0,1
87491.58,673,0.254,3.8,54,2,2,9,15718.85,1,1
32521.57,681,0.189,15.6,40,1,3,9,37157.23,1,1
79355.11,744,0.268,0.2,46,1,5,8,69191.66,0,0
60257.99,758,0.259,1.7,49,0,9,9,7512.68,0,1
73941.54,640,0.525,0.4,26,1,5,8,78396.57,0,1
126550.47,668,0.53,10.6,39,0,6,1,24285.93,0,1
43360.58,619,0.517,4.5,19,1,7,10,58154.36,0,0
33628.59,590,0.555,3.8,26,1,4,3,24109.9,0,0
31421.35,705,0.348,0.7,45,1,10,7,21716.96,1,1
32600.89,578,0.171,3.4,48,0,5,2,36748.17,0,0
47166.97,647,0.479,2.5,26,2,10,10,92543.33,0,1
58138.07,600,0.547,1.9,57,1,7,9,27595.27,0,1
56294.12,724,0.435,7.4,37,1,2,2,9609.68,0,0
74131.19,824,0.442,0.3,66,1,3,9,88813.21,0,1
49340.52,576,0.198,5.2,38,1,5,5,46698.42,0,1
101393.78,532,0.45,8.7,26,1,2,5,64000.35,0,1
42944.83,670,0.14,11.9,57,2,1,7,89148.94,1,1
191010.67,681,0.512,6.9,48,2,3,2,76786.71,0,1
67025.85,697,0.212,1.7,38,1,7,8,80667.98,0,1
31933.83,644,0.085,4.6,37,1,8,6,50608.88,0,0
28697.17,664,0.588,0.8,26,0,9,1,70297.49,0,0
62394.74,709,0.447,0.6,36,0,4,8,96557.83,0,0
43838.54,763,0.368,5.1,20,1,0,2,89529.96,1,1
70052.5,524,0.335,9.5,44,3,5,5,63180.61,0,0
62107.3,650,0.208,0.3,65,1,2,7,13110.39,0,1
47267.85,697,0.411,0.6,59,1,7,9,98071.64,0,0
32099.74,607,0.142,4.2,19,0,4,5,26421.26,0,0
22984.52,818,0.102,1.2,64,1,2,10,39271.98,0,1
39212.17,629,0.508,4.7,42,1,3,4,18333.5,0,0
75222.03,677,0.436,1.2,28,2,5,8,20828.27,0,1
54559.49,724,0.501,0.6,57,0,5,7,80598.93,0,1
26294.91,633,0.626,3.9,35,1,4,8,17185.43,0,0
53454.73,532,0.129,9.9,31,3,6,3,22990.67,0,1
59436.2,646,0.364,5.8,26,2,8,9,21291.65,0,1
31510.35,762,0.253,8.5,43,2,5,1,40167.73,1,0
52937.25,653,0.395,1.5,23,1,7,1,70995.19,0,0
50468.48,612,0.21,10.9,59,3,1,6,66164.51,0,1
27681.37,754,0.477,2.4,42,2,5,6,73846.07,1,0
58623.66,654,0.444,9.6,41,2,2,1,74047.13,1,0
64886.33,639,0.352,3.2,18,3,4,5,5285.07,0,1
84248.46,692,0.041,1.6,61,3,5,6,70031.28,1,1
83025.33,742,0.231,1.5,44,0,4,1,70034.4,0,0
24616.33,850,0.613,4.2,41,0,5,8,10900.62,0,0
30671.45,746,0.396,0.4,58,1,4,7,45576.52,0,0
63418.93,773,0.521,13.3,21,1,5,9,12471.48,0,0
63379.32,640,0.049,1.6,37,1,8,2,23128.85,0,1
63419.32,598,0.045,2.0,48,1,3,8,51526.33,0,0
200000.0,685,0.252,1.3,42,0,5,5,6141.15,0,1
65215.03,689,0.36,0.0,27,0,9,1,14025.0,0,1
86489.89,594,0.397,5.9,34,1,8,10,13067.52,0,1
78984.02,666,0.218,4.5,34,0,8,10,16831.69,0,1
67893.5,712,0.272,8.3,70,2,2,4,9729.33,0,1
41871.7,709,0.08,0.2,35,3,10,9,63147.32,1,1
71645.43,720,0.315,13.2,29,1,1,6,21966.69,0,0
33309.15,703,0.117,2.0,61,1,0,3,86947.29,0,0
43546.76,639,0.433,12.2,40,0,5,5,89056.02,0,0
38457.85,639,0.269,0.6,41,1,1,1,70648.21,0,0
51069.21,584,0.425,6.8,47,2,6,9,11170.82,0,1
155956.01,823,0.18,4.3,49,1,6,8,89702.36,0,1
20000.0,681,0.303,2.2,49,0,1,1,44775.0,0,0
69087.57,662,0.181,0.4,20,2,7,8,22205.88,0,1
21886.87,606,0.149,4.6,61,3,5,5,78983.98,0,1
38717.0,850,0.223,0.1,28,0,5,1,37935.86,0,0
84497.34,594,0.15,3.5,33,0,6,8,53076.9,0,0
50621.92,646,0.453,4.6,27,1,2,9,75588.86,0,0
28599.02,713,0.272,6.6,58,0,2,6,14606.43,0,0
34281.05,728,0.221,23.7,48,2,4,6,21107.61,0,1
68857.81,757,0.29,1.5,57,3,9,10,97013.18,1,0
34023.84,825,0.206,1.9,52,1,5,10,72786.74,0,0
54624.04,720,0.246,2.1,23,2,4,9,26956.94,0,1
50150.61,596,0.396,6.6,34,1,6,5,59509.7,0,1
35390.54,659,0.257,13.4,44,1,5,8,22858.83,0,1
143196.35,705,0.244,18.3,34,1,10,1,87218.96,1,1
67302.96,845,0.467,14.6,29,2,6,9,47618.44,1,1
20000.0,568,0.107,10.6,63,2,11,7,81652.73,0,1
53810.68,776,0.187,23.5,57,0,7,2,97332.02,1,1
35210.75,694,0.219,2.4,36,1,1,5,98183.12,0,0
75073.03,747,0.571,14.8,58,1,7,2,18073.54,1,1
32982.74,672,0.288,7.2,51,2,3,2,94756.57,1,0
46287.71,613,0.234,0.9,18,1,3,5,30677.49,0,1
63101.11,740,0.081,0.2,38,1,2,3,39164.12,0,0
75574.76,732,0.171,1.2,33,2,5,7,10984.29,0,0
26899.2,758,0.394,7.5,29,1,6,9,66331.76,0,1
41470.99,679,0.141,5.0,31,0,3,7,66191.14,0,0
38658.71,632,0.339,1.3,67,2,9,10,78818.7,0,0
35359.96,555,0.537,6.8,43,0,2,5,94894.71,0,1
118506.98,746,0.24,0.8,62,0,3,5,45675.83,0,1
60023.47,714,0.192,8.6,29,0,3,2,43706.25,0,0
26096.54,603,0.075,7.9,27,0,4,2,65715.92,1,1
77569.61,637,0.295,18.0,64,1,5,10,68403.98,0,0
141644.84,643,0.351,0.8,44,1,3,8,47298.02,0,0
82144.29,561,0.105,11.9,65,1,5,8,92336.19,0,1
22932.61,615,0.046,2.1,21,0,4,1,9956.45,0,0
38479.58,589,0.298,2.7,66,0,5,4,76858.16,0,0
92360.58,647,0.222,3.2,40,1,3,2,24754.58,0,0
34412.16,621,0.507,4.9,26,1,4,6,52056.29,0,1
61200.44,550,0.091,26.3,54,1,7,1,85891.83,1,0
72208.79,842,0.525,4.6,59,0,7,9,36312.55,1,1
30838.98,780,0.297,13.1,20,0,4,10,90470.05,0,1
47583.31,618,0.27,1.5,69,0,4,1,47814.92,0,0
20000.0,702,0.467,2.5,54,0,7,2,71761.5,0,0
29372.27,713,0.501,3.5,35,2,7,6,73654.69,1,1
43205.19,775,0.213,1.9,26,1,5,8,29777.28,0,0
26268.04,615,0.364,18.8,38,0,3,7,90562.47,0,1
110880.2,767,0.251,6.5,29,1,2,1,16838.06,0,0
23978.89,636,0.107,3.3,44,1,4,3,61056.76,1,0
39339.24,573,0.334,7.0,59,1,1,2,93255.8,0,1
52332.36,738,0.236,3.2,52,0,6,7,7944.37,0,1
100774.1,783,0.16,0.1,41,2,5,6,55468.85,0,1
23910.4,850,0.168,3.9,24,1,8,1,28411.6,0,1
87691.64,584,0.386,4.9,68,1,10,2,23283.39,0,0
49272.26,736,0.282,19.9,32,1,4,2,27207.82,1,1
30008.79,647,0.21,0.2,32,0,5,2,90755.28,0,0
61762.5,743,0.216,3.6,52,2,3,8,45424.01,0,1
54150.9,562,0.09,0.5,58,1,5,6,27410.09,1,0
36311.56,579,0.453,0.8,69,0,4,9,93117.96,0,0
50761.88,618,0.262,4.7,68,1,6,9,35553.65,1,1
40430.64,686,0.32,1.3,66,3,8,9,73729.32,0,0
51883.63,629,0.31,6.9,41,1,2,1,56031.39,0,0
68259.05,733,0.559,3.6,27,1,5,1,69520.75,0,0
108337.69,762,0.291,1.2,48,1,9,5,22354.24,1,0
26399.29,728,0.169,3.4,19,0,9,8,69460.1,0,0
142417.29,810,0.295,0.0,28,1,10,3,91053.04,0,1
20000.0,713,0.041,9.9,18,1,7,6,14585.98,0,0
45438.16,583,0.213,0.1,27,2,3,2,36020.4,0,0
65785.75,789,0.368,0.0,43,1,3,8,97397.42,0,0
56415.31,632,0.159,4.7,38,1,7,8,26393.66,1,0
35905.66,753,0.553,18.2,37,2,3,8,10657.9,0,0
44176.09,806,0.115,9.7,61,2,10,5,10230.6,0,1
38311.28,717,0.392,1.5,53,1,5,2,31153.43,0,0
36509.13,560,0.199,1.1,67,0,5,8,52012.96,0,0
74966.83,607,0.625,4.9,41,2,5,9,30538.6,1,1
58601.04,786,0.295,8.6,32,0,4,2,31685.78,1,1
34667.06,666,0.129,2.2,24,0,4,8,83985.43,0,0
76864.54,686,0.46,2.8,53,1,5,4,77859.32,0,0
57162.29,741,0.342,0.6,62,1,6,8,34530.39,0,1
73602.26,736,0.43,0.8,28,2,7,7,37764.32,0,1
67158.74,702,0.437,4.2,64,1,3,6,97118.94,1,0
32386.68,663,0.185,0.5,45,0,5,5,95264.79,0,0
37045.77,655,0.681,1.1,25,1,4,7,97444.42,0,0
71228.39,749,0.51,1.3,51,1,6,8,94223.99,0,1
66515.16,724,0.443,2.9,45,2,3,8,64668.27,0,0
48511.16,659,0.258,0.2,19,1,2,1,34290.97,1,0
51982.57,767,0.098,3.5,39,0,8,3,97102.13,0,0
92858.53,670,0.051,13.2,59,1,3,2,75567.74,0,0
36468.87,612,0.09,0.1,47,0,8,8,72568.38,0,1
64443.79,619,0.177,5.0,33,0,4,1,80773.83,1,0
44307.25,602,0.219,9.0,66,2,3,2,61854.47,0,0
43965.45,658,0.191,1.9,30,1,3,7,60409.68,0,0
84913.5,779,0.485,0.7,31,1,7,8,39326.51,0,1
74065.73,616,0.373,0.2,36,1,1,7,19320.07,0,0
73626.1,695,0.559,5.2,65,1,6,9,46659.99,0,1
94158.93,627,0.178,4.0,44,0,7,9,54150.61,0,0
49538.33,659,0.362,1.3,53,0,6,7,88391.96,0,1
68938.94,559,0.563,8.9,69,0,6,5,43152.05,0,1
41976.56,662,0.558,6.6,59,3,1,3,88886.79,0,1
57646.41,665,0.02,1.6,27,2,5,3,35164.19,0,0
45932.51,723,0.152,7.0,59,1,0,5,94744.34,1,0
51456.8,698,0.057,1.4,57,0,5,2,8698.86,1,1
66011.12,584,0.302,5.6,30,0,5,3,54906.59,0,0
32561.62,767,0.375,0.6,35,2,5,8,35551.2,1,1
139552.15,697,0.196,5.9,55,3,9,1,32969.24,0,0
29643.3,696,0.448,1.4,30,0,8,10,12542.29,0,0
26713.0,679,0.226,4.2,29,3,3,5,69722.4,0,1
87470.37,639,0.144,0.9,55,1,3,2,42292.13,0,1
72826.22,697,0.271,6.5,64,0,8,9,95160.04,1,0
66974.01,718,0.065,0.3,22,0,8,9,72680.25,1,0
67115.67,540,0.378,0.9,41,2,8,7,47074.65,0,1
48721.54,637,0.59,1.0,50,1,3,7,64593.29,0,1
31299.98,660,0.475,0.2,53,2,0,4,11270.11,0,0
50914.46,700,0.398,6.8,70,0,5,1,60968.13,0,1
34941.1,775,0.424,19.8,53,1,5,8,68284.22,0,0
79822.43,618,0.243,7.5,50,0,3,3,15085.62,0,1
45545.69,640,0.404,9.9,69,0,9,9,69830.85,1,0
32443.37,639,0.188,0.0,21,0,11,8,50030.7,1,0
41743.84,616,0.224,0.6,22,2,2,7,50563.64,0,1
60262.53,652,0.373,4.1,47,1,5,8,73739.87,0,1
36980.19,742,0.234,19.1,37,0,8,3,47731.65,0,1
32496.57,596,0.276,5.4,23,1,4,1,27262.99,0,1
55372.79,714,0.195,2.3,34,2,1,7,33336.97,0,1
55408.22,544,0.469,0.8,53,0,6,6,75143.37,0,1
38045.13,635,0.305,0.8,64,3,9,5,11744.59,1,1
38734.3,654,0.481,2.3,23,3,6,1,84878.42,0,0
55051.53,814,0.111,6.3,46,1,4,5,60309.34,0,1
23764.73,658,0.175,0.2,33,1,6,5,74062.23,1,1
24252.33,504,0.295,9.6,53,1,5,3,37650.34,0,0
34227.27,520,0.412,14.2,47,0,5,8,26160.49,0,1
44058.63,683,0.236,11.0,66,1,4,8,81434.69,0,1
57265.51,729,0.597,12.2,20,0,7,8,14709.81,1,1
102506.15,710,0.121,0.1,42,3,4,8,20756.13,0,1
75269.46,693,0.296,19.0,28,2,2,2,32067.5,0,1
45253.29,773,0.539,2.3,46,0,4,2,38366.16,0,0
48556.92,637,0.61,10.2,62,1,5,9,24347.27,1,1
29695.04,752,0.228,1.0,65,1,2,1,91699.81,1,0
48569.13,549,0.076,3.0,39,2,1,7,7582.01,0,0
42432.53,608,0.273,0.2,60,1,6,3,81329.29,1,0
57604.69,535,0.097,0.2,33,1,9,8,44051.63,0,1
32415.26,658,0.258,14.3,18,0,7,9,84430.77,0,0
63555.78,676,0.293,8.3,62,1,6,10,80616.69,0,1
105489.79,689,0.161,3.8,24,0,6,8,16498.55,0,1
46426.23,685,0.342,3.7,19,0,5,7,68309.43,0,0
59925.41,606,0.358,6.9,36,1,5,10,40952.41,0,1
69221.86,665,0.327,2.1,38,1,5,6,82996.21,0,0
40110.35,560,0.359,7.2,22,3,3,9,85846.77,0,1
54832.93,789,0.259,3.3,60,1,3,3,22959.39,0,0
49330.42,656,0.252,5.1,39,1,8,4,50471.6,0,0
51474.31,641,0.227,16.7,43,3,5,1,61468.36,0,0
33306.08,807,0.284,3.2,32,2,4,7,56687.23,0,0
49625.25,581,0.128,2.7,45,1,2,9,28918.23,1,0
62880.99,590,0.377,11.8,58,1,4,2,30886.66,1,0
101272.66,592,0.301,11.6,65,3,10,5,86528.19,0,1
79192.38,675,0.191,24.4,68,1,1,8,8106.52,0,1
143859.33,715,0.14,4.0,40,2,5,7,29924.49,0,0
33400.5,739,0.073,2.1,69,0,2,10,26192.09,0,0
75823.25,850,0.249,1.4,33,2,3,4,40213.46,0,1
53727.0,500,0.22,0.2,18,0,4,6,70179.73,0,0
146517.69,729,0.535,6.5,58,0,4,8,55564.75,0,1
32723.57,635,0.138,1.3,27,2,8,8,56359.81,0,1
32213.44,633,0.183,4.7,21,1,3,2,74472.33,0,0
36326.53,630,0.059,12.4,66,1,2,9,82155.26,0,1
20000.0,607,0.325,15.0,59,1,5,7,20188.08,0,0
37688.96,815,0.189,0.0,23,0,4,8,15262.9,1,0
33537.98,747,0.339,1.9,58,0,5,2,33615.79,0,0
52849.15,682,0.247,9.1,62,1,6,7,83617.56,0,1
58155.63,788,0.387,3.8,65,0,4,3,56465.64,0,0
125252.3,559,0.442,8.2,46,1,6,8,18568.44,0,1
78842.85,574,0.168,9.6,55,2,6,2,20555.09,0,0
36737.31,506,0.292,2.9,58,0,1,8,90335.56,0,1
31281.83,624,0.164,2.2,54,0,2,8,39862.03,0,0
62690.15,693,0.569,3.0,52,3,2,7,29251.53,0,0
25333.51,688,0.334,5.3,46,2,3,5,70905.32,0,1
122483.23,692,0.162,2.3,43,0,5,10,86774.52,0,1
88408.2,567,0.259,7.5,70,0,7,9,47028.95,0,0
38770.39,744,0.198,11.7,36,1,1,3,80157.56,1,1
20815.07,699,0.532,1.7,23,1,3,8,45853.52,0,1
96465.06,739,0.09,16.8,58,2,3,2,70685.27,0,1
46292.26,529,0.32,4.9,29,1,5,2,59607.69,0,1
91026.7,705,0.37,10.5,46,3,7,6,89972.45,0,1
22087.92,585,0.458,0.5,23,1,7,8,35879.88,0,0
36326.85,648,0.061,1.4,50,0,5,4,78189.83,1,0
49149.49,723,0.444,1.9,67,1,6,8,69974.05,0,1
50185.95,687,0.257,1.8,56,1,6,9,84688.26,1,0
39142.62,612,0.086,0.9,29,0,3,4,62716.35,0,0
66931.5,681,0.184,10.1,68,0,6,9,48713.13,1,0
28744.16,557,0.288,2.7,34,0,5,2,9698.14,0,0
45652.35,772,0.357,16.5,41,1,5,8,84771.35,0,1
52059.77,664,0.278,4.4,44,1,5,3,91443.78,0,0
63400.02,769,0.379,0.7,70,0,5,10,47717.06,0,1
69968.99,638,0.322,3.9,22,1,4,5,26114.94,0,0
27936.21,638,0.547,25.2,54,1,11,1,66479.77,0,0
22764.17,619,0.27,4.2,37,3,4,3,16561.54,0,0
92859.09,750,0.517,0.0,22,2,8,7,8880.46,0,1
57881.73,623,0.137,13.5,67,3,4,4,32560.07,1,1
33716.98,732,0.186,1.3,49,3,5,4,69591.73,0,1
106465.47,649,0.192,5.8,57,1,5,8,82349.31,0,1
51939.63,522,0.506,3.6,31,1,6,8,19901.21,0,0
88401.89,634,0.098,2.0,58,0,2,7,94884.17,0,0
50703.96,586,0.263,1.7,61,1,6,1,57447.26,0,0
137361.85,683,0.008,13.2,40,0,9,8,92899.54,0,1
117909.24,585,0.26,12.1,48,1,8,8,19229.99,1,1
43283.12,754,0.173,3.6,69,0,5,7,48507.68,0,0
79680.92,673,0.038,1.5,62,0,9,3,45926.87,0,0
67689.61,666,0.36,0.5,41,0,6,4,44110.8,0,0
97179.57,732,0.411,0.9,53,3,3,5,93424.88,0,1
30258.68,757,0.316,3.7,59,0,8,8,85694.12,0,1
69080.36,678,0.085,1.8,19,2,3,3,80456.37,0,0
83217.44,618,0.389,0.2,49,0,3,2,32181.77,0,0
20345.81,538,0.329,3.0,69,1,6,5,37208.99,0,0
27129.33,625,0.191,6.9,67,1,6,1,29633.77,0,0
20000.0,631,0.482,11.1,61,1,3,3,80380.92,0,1
42842.96,689,0.185,4.4,24,3,3,9,42318.52,0,1
